,Teams,Games,Wins,Ties,Loses,Goals for,Goals against,Goals difference,Points,Top scorer,Total player goals
1,Manchester City,4,3,0,1,15,7,8,9,Riyad Mahrez,4
2,Paris Saint-Germain,4,2,2,0,8,5,3,8,Lionel Messi,3
3,Club Brugge,4,1,1,2,5,11,-6,4,Hans Vanaken,3
4,RB Leipzig,4,0,1,3,8,13,-5,1,Christopher Nkunku,5
5,Liverpool FC,4,4,0,0,13,5,8,12,Mohamed Salah Ghaly,5
6,FC Porto,4,1,2,1,3,6,3,5,Luis Díaz,2
7,Club Atlético de Madrid,4,1,1,2,4,6,2,4,Antoine Griezmann,3
8,AC Milan,4,0,1,3,4,7,3,1,None,0
9,AFC Ajax,4,4,0,0,14,2,12,12,Sébastien Haller,7
10,Borussia Dortmund,4,2,0,2,4,8,-4,6,None,0
11,Sporting Clube de Portugal,4,2,0,2,9,7,2,6,Pote,2
12,Beşiktaş JK ,4,0,0,4,2,12,-10,0,None,0
13,Real Madrid CF,4,3,0,1,9,3,6,9,Karim Benzema,4
14,FC Internazionale Milano,4,2,1,1,6,3,3,7,None,0
15,FC Sheriff Tiraspol,4,2,0,2,6,7,-1,6,Adama Traoré,2
16,FC Shakhtar Donetsk,4,0,1,3,1,9,-8,1,None,0
17,FC Bayern München,4,4,0,0,17,2,15,12,Robert Lewandowski,8
18,FC Barcelona,4,2,0,2,2,6,-4,6,None,0
19,SL Benfica,4,1,1,2,5,9,-4,4,Darwin Nuñez,3
20,FC Dynamo Kyiv,4,0,1,3,0,7,-7,1,None,0
21,Manchester United,4,2,1,1,8,7,1,7,Cristiano Ronaldo,5
22,Villarreal CF,4,2,1,1,9,5,4,7,Arnaut Danjuma,2
23,Atalanta BC,4,1,2,1,7,7,0,5,None,0
24,BSC Young Boys,4,1,0,3,3,8,-5,3,None,0
25,FC Salzburg,4,2,1,1,7,5,2,7,Karim Adeyemi,3
26,LOSC Lille,4,1,2,1,3,3,0,5,None,0
27,VfL Wolfsburg,4,1,2,1,4,5,-1,5,Lukas Nmecha,2
28,Sevilla FC,4,0,3,1,3,4,-1,3,Ivan Rakitic,2
29,Juventus ,4,4,0,0,9,2,7,12,Federico Chiesa,2
30,Chelsea FC,4,3,0,1,6,1,5,9,Jorginho,2
31,FC Zenit,4,1,0,3,6,6,0,3,None,0
32,Malmö FF,4,0,0,4,0,12,-12,0,None,0
